type	latitude	longitude	altitude (m)	color	opacity	name	desc
T	-1.399138021	36.744331636	1750.7				
T	-1.400109778	36.744748280	1748.6				
T	-1.400885097	36.745181894	1743.6				
T	-1.401374198	36.745852931	1736.2				
T	-1.401798070	36.746946601	1726.7				
T	-1.401782920	36.748912947	1741.6				
T	-1.401294377	36.751235404	1745.0				
T	-1.399887830	36.753651247	1744.4				
T	-1.398215347	36.755475057	1738.6				
T	-1.396194419	36.756921675	1741.4				
T	-1.393803920	36.757786970	1742.7				
T	-1.391779821	36.758202119	1732.0				
T	-1.390100374	36.757966437	1728.9				
T	-1.388504476	36.757503893	1733.4				
T	-1.386962609	36.756634409	1729.6				
T	-1.385782175	36.755201998	1724.0				
T	-1.385123812	36.753820279	1723.1				
T	-1.384794820	36.752611476	1723.5				
T	-1.384774277	36.751371291	1725.8				
T	-1.385377181	36.750172064	1729.4				
T	-1.386517642	36.749126332	1742.9				
T	-1.387949999	36.747949058	1748.7				
T	-1.389552767	36.747475805	1745.6				
T	-1.393209153	36.746896230	1746.7				
T	-1.395019078	36.747434098	1747.1				
T	-1.396768645	36.748391489	1748.6				
T	-1.397895303	36.749309303	1746.3				
T	-1.398675962	36.750882388	1744.1				
T	-1.399458410	36.753488569	1744.9				
T	-1.399402317	36.755973964	1738.1				
T	-1.398763224	36.757797244	1740.5				
T	-1.397397437	36.759591699	1737.9				
T	-1.395640357	36.760598105	1740.5				
T	-1.393228391	36.761262263	1739.0				
T	-1.390771825	36.761527235	1720.0				
T	-1.388276504	36.761352346	1734.4				
T	-1.385824548	36.760681107	1716.9				
T	-1.384071606	36.759721562	1721.0				
T	-1.382951334	36.758793763	1733.1				
T	-1.381934132	36.757858147	1746.0				
T	-1.381334196	36.756986683	1754.8				
T	-1.381058341	36.756291329	1758.0				
T	-1.381180194	36.755452585	1756.8				
T	-1.381793917	36.754463670	1750.4				
T	-1.383028289	36.753514860	1730.9				
T	-1.384999847	36.752590488	1723.8				
T	-1.387403738	36.751721469	1746.8				
T	-1.390029011	36.751144033	1746.3				
T	-1.392277141	36.750915215	1745.9				
T	-1.394159478	36.751137056	1743.6				
T	-1.396082664	36.751767325	1742.3				
T	-1.397638300	36.752848220	1743.8				
T	-1.398704017	36.754185849	1742.0				
T	-1.399536090	36.756270546	1738.7				
T	-1.399830926	36.759137134	1737.5				
T	-1.399141282	36.761483534	1736.0				
T	-1.397796036	36.763484427	1731.7				
T	-1.395282498	36.765189466	1731.8				
T	-1.391795527	36.766500422	1717.8				
T	-1.388637802	36.767041904	1703.9				
T	-1.382910610	36.766559563	1728.6				
T	-1.379920051	36.765506806	1742.3				
T	-1.377529452	36.764074073	1768.1				
T	-1.375755401	36.762696982	1775.9				
T	-1.374466346	36.761071240	1778.5				
T	-1.373945792	36.759990713	1780.5				
T	-1.373940382	36.758855468	1784.8				
T	-1.374360576	36.757884362	1788.2				
T	-1.375463762	36.756641192	1787.9				
T	-1.378929986	36.754438147	1772.7				
T	-1.381223363	36.753901088	1754.2				
T	-1.383263411	36.753801538	1728.8				
T	-1.385380540	36.754311779	1725.1				
T	-1.387455020	36.755338408	1738.9				
T	-1.388984992	36.757143919	1731.7				
T	-1.390083085	36.759832363	1724.8				
T	-1.390426276	36.763223070	1718.1				
T	-1.390040446	36.765547612	1702.7				
T	-1.389283860	36.767290457	1703.0				
T	-1.388024360	36.768141671	1704.8				
T	-1.385265652	36.768395784	1723.3				
T	-1.383853711	36.767706362	1727.2				
T	-1.382132418	36.766017053	1732.1				
T	-1.380673830	36.763776166	1741.7				
T	-1.379637342	36.761486816	1761.7				
T	-1.379206485	36.760182058	1771.4				
T	-1.379113548	36.759263453	1774.2				
T	-1.379152572	36.758641394	1772.2				
T	-1.379606044	36.758082359	1766.7				
T	-1.380291840	36.757810768	1760.2				
T	-1.381091879	36.757629897	1753.4				
T	-1.382196694	36.757419789	1745.8				
T	-1.383629136	36.757384770	1731.1				
T	-1.384597642	36.757808162	1718.0				
T	-1.384638455	36.758219082	1717.7				
T	-1.384170720	36.758678032	1723.1				
T	-1.383104624	36.759296177	1730.9				
T	-1.381713747	36.759739264	1745.8				
T	-1.379014582	36.760303472	1772.0				
T	-1.377634223	36.759821275	1782.8				
T	-1.377277929	36.759341794	1786.7				
T	-1.377124482	36.758842231	1787.3				
T	-1.377041095	36.758026923	1786.2				
T	-1.377272760	36.757282895	1783.7				
T	-1.378001928	36.756385655	1780.9				
T	-1.378933452	36.755468007	1775.0				
T	-1.380275173	36.754613948	1765.2				
T	-1.381649984	36.754065095	1750.7				
T	-1.382958565	36.753831844	1733.5				
T	-1.384283178	36.753699184	1720.4				
T	-1.385452052	36.753993743	1726.2				
T	-1.387362822	36.755451578	1737.9				
T	-1.387825992	36.756956413	1733.8				
T	-1.388058253	36.759201846	1735.7				
T	-1.386234938	36.763755755	1713.5				
T	-1.384632726	36.765257044	1715.0				
T	-1.382664444	36.766170502	1730.6				
T	-1.380334491	36.766610800	1738.1				
T	-1.378485111	36.766577402	1744.6				
T	-1.374180165	36.763369941	1772.2				
T	-1.372802578	36.760932700	1778.0				
T	-1.371947282	36.758439330	1790.4				
T	-1.371671605	36.756716939	1790.1				
T	-1.371763142	36.755575125	1790.4				
T	-1.372373086	36.754483705	1791.0				
T	-1.373419948	36.753656696	1794.5				
T	-1.374858560	36.752687108	1788.5				
T	-1.376733977	36.751981545	1786.2				
T	-1.378724827	36.751469827	1768.5				
T	-1.380429132	36.751193408	1744.2				
T	-1.382269818	36.751109383	1732.2				
T	-1.383760346	36.751578342	1725.3				
T	-1.385307363	36.752559031	1727.8				
T	-1.386585622	36.753873345	1736.9				
T	-1.387137726	36.755267188	1736.9				
T	-1.387518208	36.756988945	1733.3				
T	-1.387369079	36.758553327	1733.9				
T	-1.385856653	36.760986874	1718.0				
T	-1.384592720	36.761849565	1712.6				
T	-1.383301880	36.762278501	1728.7				
T	-1.381752454	36.762222211	1741.0				
T	-1.380697300	36.761907186	1750.5				
T	-1.379366576	36.760787469	1766.1				
T	-1.377803717	36.758465544	1782.4				
T	-1.376913307	36.755774422	1785.8				
T	-1.376553714	36.753235760	1785.7				
T	-1.376773379	36.751359557	1786.8				
T	-1.377349288	36.749961662	1782.0				
T	-1.378446386	36.748714544	1758.4				
T	-1.384159436	36.746266654	1737.8				
T	-1.390409596	36.746769131	1748.0				
T	-1.391922819	36.747440489	1748.1				
T	-1.392935947	36.748266201	1746.4				
T	-1.394067686	36.751249781	1743.3				
T	-1.393011391	36.755077861	1731.5				
T	-1.391644310	36.756872162	1731.9				
T	-1.389539135	36.758538147	1731.3				
T	-1.387361701	36.759482669	1733.9				
T	-1.385026851	36.760049290	1709.2				
T	-1.383054609	36.759818111	1731.1				
T	-1.381469669	36.759349328	1747.9				
T	-1.379331646	36.757387307	1768.0				
T	-1.378793497	36.756100048	1775.7				
T	-1.378739356	36.754559962	1774.0				
T	-1.379216033	36.753276425	1766.6				
T	-1.380482572	36.751704417	1745.2				
T	-1.382772278	36.749920975	1738.1				
T	-1.389878118	36.746616917	1749.1				
T	-1.392992397	36.745782881	1748.8				
T	-1.395841237	36.745389992	1753.1				
T	-1.398405480	36.745231331	1750.2				
T	-1.400860141	36.745906197	1738.3				
T	-1.402290783	36.746689147	1721.7				
T	-1.403299758	36.747517774	1728.3				
T	-1.404029515	36.748580553	1728.7				
T	-1.404385932	36.750094560	1739.1				
T	-1.404286842	36.752171549	1742.0				
T	-1.403690179	36.754403939	1740.1				
T	-1.402476288	36.756697779	1740.0				
T	-1.400925134	36.758716191	1737.6				
T	-1.399117721	36.760244343	1733.9				
T	-1.397145342	36.761168965	1739.0				
T	-1.395202284	36.761367170	1738.2				
T	-1.393842161	36.761199386	1739.3				
T	-1.392439145	36.760616616	1736.2				
T	-1.391322161	36.759807193	1728.1				
T	-1.390582629	36.758642788	1727.3				
T	-1.390232245	36.757227938	1728.3				
T	-1.390097214	36.755894997	1729.6				
T	-1.390565368	36.754398627	1733.8				
T	-1.393923605	36.750851008	1745.5				
T	-1.396598911	36.749751384	1744.1				
T	-1.399296834	36.748856497	1742.3				
T	-1.402346716	36.748338737	1737.7				
T	-1.408019970	36.749207661	1730.8				
T	-1.410027018	36.750555141	1734.5				
T	-1.411413242	36.752167915	1740.0				
T	-1.413109439	36.756447227	1733.1				
T	-1.413167379	36.757994772	1724.0				
T	-1.412778432	36.759274657	1725.3				
T	-1.412263317	36.760358347	1727.4				
T	-1.411701961	36.760932998	1729.8				
T	-1.410798883	36.761229905	1733.0				
T	-1.410275043	36.761178575	1732.8				
T	-1.409731680	36.760923219	1732.2				
T	-1.409291718	36.760658266	1730.9				
T	-1.408811147	36.759984693	1728.5				
T	-1.408514649	36.758989021	1723.2				
T	-1.408335896	36.758086428	1713.0				
T	-1.408270151	36.757372073	1708.0				
T	-1.408330209	36.756951012	1706.7				
T	-1.408677897	36.756392381	1712.5				
T	-1.409344916	36.756005046	1721.1				
T	-1.410731415	36.755547131	1730.0				
T	-1.411852368	36.755431228	1734.4				
T	-1.412195022	36.755708151	1735.3				
T	-1.412341515	36.756107754	1735.1				
T	-1.412384504	36.756517488	1734.3				
T	-1.412427501	36.756927273	1733.4				
T	-1.412088636	36.757684374	1732.4				
T	-1.411258125	36.758697551	1732.2				
T	-1.408964414	36.760485179	1729.5				
T	-1.407602692	36.761251039	1725.4				
T	-1.406203783	36.761612790	1712.2				
T	-1.405096128	36.761838121	1706.8				
T	-1.404270253	36.761916189	1713.8				
T	-1.403420642	36.761785549	1723.0				
T	-1.402769006	36.761534529	1726.3				
T	-1.402316710	36.761165470	1726.7				
T	-1.402285241	36.760858210	1725.6				
T	-1.402563458	36.760522382	1724.9				
T	-1.403216172	36.759834055	1727.0				
T	-1.404394076	36.759198502	1728.3				
T	-1.405583220	36.758665418	1718.4				
T	-1.406914400	36.758336879	1707.8				
T	-1.407941410	36.758233414	1710.2				
T	-1.408660282	36.758355360	1719.1				
T	-1.409188016	36.758602532	1726.0				
T	-1.409524207	36.758877218	1728.2				
T	-1.410044622	36.759959235	1732.1				
T	-1.409946302	36.761004444	1732.7				
T	-1.409339356	36.762104125	1729.9				
T	-1.406795030	36.764350305	1712.1				
T	-1.405204744	36.765026397	1716.8				
T	-1.403089779	36.765647942	1726.9				
T	-1.401480159	36.766117716	1728.2				
T	-1.400126206	36.766044032	1727.2				
T	-1.399184227	36.765932840	1721.7				
T	-1.398333917	36.765708261	1724.3				
T	-1.397646420	36.765052970	1726.8				
T	-1.397502329	36.764653865	1727.8				
T	-1.397735777	36.763904968	1729.8				
T	-1.398469987	36.763001219	1732.9				
T	-1.399899774	36.761821031	1733.4				
T	-1.401638472	36.760612052	1726.8				
T	-1.403534918	36.759906243	1726.0				
T	-1.405352396	36.759415844	1716.5				
T	-1.406695093	36.759191419	1705.4				
T	-1.407837317	36.759374059	1718.9				
T	-1.408709502	36.759995527	1728.4				
T	-1.409243165	36.761181411	1730.8				
T	-1.409799273	36.763511182	1727.3				
T	-1.409742615	36.765906953	1711.6				
T	-1.408905932	36.768706135	1713.0				
T	-1.407280213	36.771137100	1711.0				
T	-1.402142031	36.775591919	1717.1				
T	-1.399358933	36.776711603	1713.5				
T	-1.396830084	36.777290266	1710.5				
T	-1.394578833	36.777561557	1691.7				
T	-1.393099485	36.777295168	1693.3				
T	-1.391989006	36.776557304	1703.7				
T	-1.391064428	36.775592880	1711.7				
T	-1.390631193	36.774402345	1714.1				
T	-1.390311163	36.773295379	1711.3				
T	-1.390412437	36.772237418	1713.6				
T	-1.390923301	36.771139222	1718.1				
T	-1.392140080	36.769878407	1721.7				
T	-1.393479770	36.768804368	1724.3				
T	-1.395146113	36.767901418	1726.7				
T	-1.396752081	36.767425457	1726.4				
T	-1.398287709	36.767269878	1716.9				
T	-1.399333579	36.767373629	1720.3				
T	-1.400308012	36.767793628	1723.1				
T	-1.401253454	36.768859986	1708.3				
T	-1.401971514	36.770851390	1708.4				
T	-1.402281051	36.773917923	1719.2				
T	-1.401900335	36.777276308	1715.6				
T	-1.400923345	36.779867923	1708.4				
T	-1.399361711	36.781801183	1707.1				
T	-1.397858148	36.783307399	1704.5				
T	-1.396096221	36.784318237	1702.8				
T	-1.394497271	36.784896508	1702.4				
T	-1.393256318	36.784922476	1704.3				
T	-1.392199388	36.784722772	1700.3				
T	-1.391397683	36.783981523	1698.7				
T	-1.390111449	36.782574706	1692.8				
T	-1.389707760	36.781706348	1688.6				
T	-1.389860283	36.781180456	1686.9				
T	-1.390394126	36.780272291	1689.1				
T	-1.391163452	36.779663644	1693.1				
T	-1.393277470	36.779043258	1684.2				
T	-1.394089105	36.778866139	1691.2				
T	-1.394701715	36.778767200	1699.1				
T	-1.395551581	36.778974967	1707.0				
T	-1.395992762	36.779239129	1710.0				
T	-1.396352137	36.779717849	1711.8				
T	-1.396559391	36.780734580	1712.4				
T	-1.396191331	36.781187886	1708.8				
T	-1.395699846	36.781446776	1705.7				
T	-1.394890142	36.781633002	1707.8				
T	-1.393957449	36.781630756	1706.1				
T	-1.392644412	36.780974098	1690.8				
T	-1.392181642	36.780520039	1685.0				
T	-1.391913322	36.779909271	1686.7				
T	-1.391747906	36.779282697	1693.4				
T	-1.391593103	36.778769256	1699.6				
T	-1.392083186	36.777489458	1705.0				
T	-1.392646909	36.776923987	1697.9				
T	-1.393324263	36.776450889	1687.6				
T	-1.393908547	36.776073685	1685.0				
T	-1.394501822	36.775787876	1690.7				
T	-1.395003489	36.775625765	1696.8				
T	-1.395854082	36.775841173	1707.1				
T	-1.395874543	36.776043482	1707.9				
T	-1.394860047	36.775233700	1693.1				
T	-1.394409283	36.774879239	1688.6				
T	-1.393844068	36.774423323	1690.5				
T	-1.393914823	36.774098537	1692.0				
T	-1.395178256	36.774281946	1687.5				
T	-1.395937321	36.774610842	1698.1				
T	-1.396716057	36.775141114	1707.8				
T	-1.397392146	36.775684218	1713.5				
T	-1.398109305	36.776636183	1714.0				
T	-1.398583032	36.778241500	1712.6				
T	-1.399069668	36.779959724	1706.6				
T	-1.398678097	36.783221760	1705.6				
T	-1.397941928	36.784128945	1706.0				
T	-1.396866918	36.784762046	1703.3				
T	-1.395646810	36.784991785	1700.5				
T	-1.394486718	36.784792600	1702.7				
T	-1.393049125	36.783904013	1700.5				
T	-1.391456479	36.782524890	1698.0				
T	-1.389850805	36.779994207	1691.9				
T	-1.388449336	36.776396584	1695.9				
T	-1.387643879	36.773575478	1705.4				
T	-1.387069352	36.770917291	1713.7				
T	-1.387103862	36.768226459	1711.5				
T	-1.388749233	36.764005473	1718.8				
T	-1.390025320	36.762328942	1715.6				
T	-1.391570598	36.761228535	1728.4				
T	-1.393165425	36.760645034	1740.1				
T	-1.394984932	36.760250923	1739.3				
T	-1.396324897	36.760218184	1740.1				
T	-1.397583299	36.760400032	1736.8				
T	-1.398689946	36.761115149	1736.4				
T	-1.399521806	36.762169564	1731.3				
T	-1.399954909	36.763367978	1731.6				
T	-1.400236036	36.765100041	1728.0				
T	-1.400099800	36.766776868	1727.9				
T	-1.399248179	36.768532548	1714.9				
T	-1.397941880	36.769916765	1711.1				
T	-1.396180566	36.770923951	1710.7				
T	-1.391815806	36.771772168	1719.5				
T	-1.389806082	36.771366657	1711.4				
T	-1.387394691	36.770059916	1712.1				
T	-1.383870047	36.765843722	1723.1				
T	-1.383026352	36.763653845	1729.3				
T	-1.382669556	36.762132888	1733.4				
T	-1.382748702	36.760884271	1734.3				
T	-1.383471498	36.759882143	1726.7				
T	-1.384709942	36.758938406	1716.8				
T	-1.386381620	36.758038931	1723.5				
T	-1.390529204	36.757092200	1728.0				
T	-1.392247487	36.756706778	1734.9				
T	-1.394118989	36.756824413	1743.1				
T	-1.397056431	36.758281204	1739.6				
T	-1.398246476	36.759814744	1734.9				
T	-1.399193743	36.761995633	1732.8				
T	-1.399826810	36.765141881	1726.3				
T	-1.399850167	36.768362324	1717.1				
T	-1.399327499	36.771253896	1698.9				
T	-1.397862216	36.774190145	1707.9				
T	-1.396294856	36.776102773	1709.6				
T	-1.394455359	36.777367919	1688.9				
T	-1.392638196	36.777851335	1697.7				
T	-1.389220400	36.776827966	1703.0				
T	-1.387429598	36.774533980	1704.9				
T	-1.386099680	36.771523798	1716.7				
T	-1.385188846	36.766648831	1719.6				
T	-1.385515588	36.764873961	1706.1				
T	-1.386276310	36.763126505	1717.6				
T	-1.389521703	36.760403736	1728.2				
T	-1.391393331	36.759487008	1729.1				
T	-1.393294769	36.758872990	1741.5				
T	-1.395237173	36.758673792	1740.4				
T	-1.398440573	36.759691629	1734.9				
T	-1.399558590	36.760510260	1734.2				
T	-1.401134080	36.763767471	1732.7				
T	-1.401172392	36.766147832	1729.5				
T	-1.400831841	36.767846756	1723.7				
T	-1.399325078	36.770215813	1703.3				
T	-1.397925766	36.770756903	1706.5				
T	-1.396715055	36.771081822	1708.0				
T	-1.395474141	36.771102338	1708.5				
T	-1.392959355	36.769790715	1719.9				
T	-1.392106812	36.768537201	1720.2				
T	-1.391427422	36.766954067	1714.5				
T	-1.391166419	36.764388983	1721.7				
T	-1.391584826	36.763408207	1731.8				
T	-1.392320363	36.762499704	1732.8				
T	-1.393690173	36.761734968	1737.7				
T	-1.395283556	36.761151661	1739.1				
T	-1.397113818	36.760861578	1738.9				
T	-1.398750339	36.760695229	1735.6				
T	-1.400737097	36.760908782	1730.5				
T	-1.402666417	36.761544688	1726.8				
T	-1.404105262	36.762345238	1717.0				
T	-1.405267002	36.763482665	1706.5				
T	-1.406028699	36.764856087	1706.6				
T	-1.406418322	36.766677413	1702.6				
T	-1.406697712	36.768498878	1717.2				
T	-1.405553943	36.771511453	1717.8				
T	-1.404385777	36.772248598	1719.1				
T	-1.403200026	36.772786720	1719.1				
T	-1.401777589	36.773038080	1716.3				
T	-1.400416202	36.772870918	1709.9				
T	-1.399330611	36.772294178	1694.9				
T	-1.398171645	36.771142979	1705.2				
T	-1.397190978	36.769674258	1713.5				
T	-1.396526454	36.767241311	1726.6				
T	-1.396717830	36.766080762	1726.3				
T	-1.397247502	36.765196809	1727.5				
T	-1.398310339	36.764467890	1727.3				
T	-1.399689849	36.763808843	1729.5				
T	-1.401501960	36.763316782	1731.4				
T	-1.403542155	36.763010441	1722.2				
T	-1.406500674	36.763545759	1716.5				
T	-1.407706467	36.764246554	1721.5				
T	-1.408640581	36.765289920	1721.5				
T	-1.409946835	36.769834753	1710.2				
T	-1.409791005	36.772341492	1709.4				
T	-1.409161502	36.774274511	1700.1				
T	-1.406745692	36.777089663	1712.3				
T	-1.405252481	36.777659934	1713.2				
T	-1.403613075	36.777827156	1716.3				
T	-1.400936294	36.776960055	1716.8				
T	-1.399552935	36.775557378	1714.5				
T	-1.398401253	36.773332722	1692.4				
T	-1.397101413	36.767805527	1722.9				
T	-1.397197839	36.765720431	1726.6				
T	-1.397562701	36.764233472	1728.8				
T	-1.398275936	36.763124628	1733.7				
T	-1.400626903	36.761851278	1732.6				
T	-1.402030004	36.761400805	1728.6				
T	-1.405509352	36.761799063	1707.8				
T	-1.406903128	36.762464583	1723.6				
T	-1.408286802	36.763874311	1726.1				
T	-1.409458414	36.766145205	1710.9				
T	-1.410657420	36.770787468	1715.5				
T	-1.410445822	36.772686428	1710.0				
T	-1.409132402	36.775003321	1701.3				
T	-1.408050376	36.775620865	1712.6				
T	-1.406732239	36.775950088	1716.9				
T	-1.405287377	36.775993395	1718.2				
T	-1.403996340	36.775505807	1715.9				
T	-1.402344150	36.774533827	1719.7				
T	-1.400620361	36.772848033	1712.5				
T	-1.399398375	36.770934565	1700.3				
T	-1.398698089	36.769215362	1711.9				
T	-1.398195997	36.767383277	1717.4				
T	-1.398467963	36.766005939	1722.5				
T	-1.399905033	36.763890581	1730.8				
T	-1.401275922	36.763132184	1732.3				
T	-1.405149941	36.762352343	1706.3				
T	-1.406688550	36.762383639	1721.6				
T	-1.408293217	36.762940558	1728.3				
T	-1.411016777	36.764221549	1725.9				
T	-1.411820085	36.764970210	1721.3				
T	-1.412238679	36.765968916	1714.0				
T	-1.412238406	36.767942581	1717.4				
T	-1.411602967	36.768834342	1716.6				
T	-1.410927803	36.769317941	1715.3				
T	-1.410027930	36.769618699	1709.9				
T	-1.409012648	36.769734348	1707.8				
T	-1.407940170	36.769422291	1714.5				
T	-1.406822457	36.768695160	1717.5				
T	-1.405635050	36.767075713	1700.1				
T	-1.404036916	36.763789948	1720.1				
T	-1.402951585	36.760275491	1724.8				
T	-1.402133377	36.755387212	1743.5				
T	-1.402374267	36.753708697	1744.0				
T	-1.402771648	36.752531958	1744.7				
T	-1.404387600	36.751127880	1742.2				
T	-1.405492235	36.750808713	1736.8				
T	-1.406530705	36.750807069	1729.7				
T	-1.407412815	36.751236329	1717.3				
T	-1.408398145	36.751655701	1712.0				
T	-1.409077393	36.752309163	1719.7				
T	-1.409968969	36.754076767	1729.8				
T	-1.410080759	36.755201823	1730.5				
T	-1.409676719	36.756278544	1726.5				
T	-1.408300344	36.757679510	1709.5				
T	-1.407603641	36.757957600	1708.2				
T	-1.406632811	36.757735108	1715.2				
T	-1.405545753	36.757321484	1728.4				
T	-1.404288652	36.756204641	1736.9				
T	-1.402917357	36.753963618	1742.7				
T	-1.401213188	36.747316857	1732.0				
T	-1.400840659	36.744774431	1747.4				
T	-1.401055138	36.742897877	1756.5				
T	-1.401974648	36.740736492	1751.6				
T	-1.402657316	36.740246690	1737.7				
T	-1.403561817	36.739943967	1728.7				
T	-1.406157512	36.741020663	1732.6				
T	-1.407312429	36.742463484	1751.6				
T	-1.408204872	36.744127786	1747.0				
T	-1.409439201	36.748028980	1740.9				
T	-1.409574109	36.749255805	1735.8				
T	-1.409370722	36.750208161	1727.5				
T	-1.409134871	36.750854272	1720.9				
T	-1.408751670	36.751101296	1718.7				
T	-1.408131786	36.751061828	1715.7				
T	-1.406785275	36.750162023	1720.0				
T	-1.406171767	36.749087072	1716.2				
T	-1.405480691	36.747501355	1723.5				
T	-1.404877365	36.744666836	1729.9				
T	-1.404863659	36.743530841	1728.8				
T	-1.405072328	36.742580648	1737.0				
T	-1.406174334	36.741227803	1735.9				
T	-1.406651702	36.740870371	1734.4				
T	-1.407244461	36.740711665	1740.9				
T	-1.407838436	36.740552043	1745.6				
T	-1.408355571	36.740604396	1749.6				
T	-1.408784334	36.740767364	1753.6				
T	-1.409367949	36.741430333	1756.5				
T	-1.409544043	36.742134540	1755.7				
T	-1.409741375	36.743043023	1753.6				
T	-1.409653322	36.744187188	1751.2				
T	-1.409251250	36.745259890	1749.3				
T	-1.408737109	36.746241171	1746.0				
T	-1.407190345	36.747224938	1742.8				
T	-1.406487725	36.747399733	1736.0				
T	-1.405760191	36.747266463	1729.0				
T	-1.405214548	36.746907504	1723.2				
T	-1.404702950	36.745924386	1724.7				
T	-1.404372607	36.744716162	1722.9				
T	-1.404035486	36.742475961	1730.2				
T	-1.404130875	36.741434687	1729.2				
T	-1.404533628	36.740362411	1727.8				
T	-1.405291218	36.739663706	1730.5				
T	-1.406052866	36.738961837	1730.8				
T	-1.406936335	36.738565437	1734.7				
T	-1.408274458	36.738643061	1748.2				
T	-1.408497765	36.738828020	1749.9				
T	-1.408327203	36.739153895	1748.0				
T	-1.407971862	36.739705969	1744.4				
T	-1.407202842	36.740193943	1737.3				
T	-1.406424101	36.740579105	1731.2				
T	-1.405013763	36.740928886	1725.6				
T	-1.404487410	36.740881626	1728.1				
T	-1.403926032	36.740530620	1731.1				
T	-1.403309082	36.739449617	1731.0				
T	-1.402939934	36.737943735	1738.9				
T	-1.402604179	36.734673831	1752.6				
T	-1.402962917	36.733199776	1759.9				
T	-1.403352717	36.732033508	1758.1				
T	-1.404088590	36.731247556	1765.0				
T	-1.404759397	36.730769209	1767.1				
T	-1.405545513	36.730378286	1766.2				
T	-1.406394466	36.730483413	1755.9				
T	-1.407816350	36.731037987	1742.5				
T	-1.408494667	36.731700350	1750.8				
T	-1.409028801	36.733919946	1754.4				
T	-1.408930110	36.734961736	1749.2				
T	-1.408243056	36.736267360	1746.5				
T	-1.407323356	36.737284971	1738.8				
T	-1.406145979	36.737923249	1735.5				
T	-1.404721572	36.738285690	1745.9				
T	-1.403387983	36.738313852	1738.5				
T	-1.402026847	36.738029590	1731.2				
T	-1.400822220	36.737435894	1736.7				
T	-1.399223134	36.736068311	1752.0				
T	-1.398956359	36.735476599	1752.6				
T	-1.398740822	36.734361256	1752.9				
T	-1.399284773	36.733574803	1745.9				
T	-1.399921361	36.732674332	1743.5				
T	-1.400984975	36.731942946	1737.3				
T	-1.402049462	36.731331572	1746.7				
T	-1.403144101	36.731026441	1758.7				
T	-1.404147271	36.730831551	1768.8				
T	-1.405191536	36.730927185	1763.2				
T	-1.405662386	36.731381760	1756.7				
T	-1.405685254	36.731583417	1755.1				
T	-1.405318445	36.732033617	1756.1				
T	-1.403672710	36.733134450	1762.5				
T	-1.402679721	36.733431679	1758.4				
T	-1.401877730	36.733608976	1746.7				
T	-1.401053635	36.733582559	1735.7				
T	-1.400404911	36.733345216	1736.1				
T	-1.399747075	36.733004238	1743.0				
T	-1.398993200	36.731750458	1752.4				
T	-1.398826676	36.731152890	1754.0				
T	-1.398990801	36.730719410	1751.5				
T	-1.400242275	36.729750092	1740.1				
T	-1.401237119	36.729455459	1754.1				
T	-1.402273433	36.729567328	1765.2				
T	-1.403319288	36.729780546	1777.0				
T	-1.404275669	36.730100752	1778.3				
T	-1.405179805	36.730827000	1763.8				
T	-1.405353098	36.731416923	1759.5				
T	-1.405318445	36.732033617	1756.1				
T	-1.404878707	36.732803422	1756.8				
T	-1.403928191	36.733625492	1763.2				
T	-1.402551298	36.734163656	1756.4				
T	-1.399787953	36.734451473	1743.0				
T	-1.398607419	36.734065368	1753.5				
T	-1.397253954	36.732974437	1762.9				
T	-1.395573810	36.730678777	1768.9				
T	-1.394497634	36.728212260	1768.5				
T	-1.393872978	36.726091599	1756.4				
T	-1.393703176	36.722384981	1752.5				
T	-1.394200749	36.721206522	1759.7				
T	-1.394821343	36.720218468	1762.1				
T	-1.395790158	36.719603531	1763.3				
T	-1.396970172	36.719090124	1773.1				
T	-1.398080058	36.718882984	1776.4				
T	-1.399210511	36.718878021	1776.2				
T	-1.400055876	36.719106378	1774.3				
T	-1.400933603	36.719635604	1776.2				
T	-1.401931110	36.721270944	1774.6				
T	-1.401996090	36.722912086	1769.7				
T	-1.401492124	36.725020206	1764.2				
T	-1.400309597	36.727366123	1749.8				
T	-1.398631321	36.729204801	1751.3				
T	-1.396604810	36.730674729	1769.1				
T	-1.394443041	36.731723683	1770.9				
T	-1.391903471	36.732087479	1771.4				
T	-1.389730922	36.732003105	1769.9				
T	-1.385670541	36.729543562	1777.2				
T	-1.383655242	36.726961226	1781.4				
T	-1.382532178	36.723996832	1784.4				
T	-1.381898231	36.720850191	1769.8				
T	-1.382092603	36.718682336	1774.6				
T	-1.383375586	36.716034293	1797.4				
T	-1.384455958	36.715526048	1803.2				
T	-1.387091791	36.715169463	1809.2				
T	-1.388372047	36.715637251	1806.2				
T	-1.389784394	36.716364866	1782.2				
T	-1.391436776	36.717405663	1771.2				
T	-1.392521247	36.718918364	1772.8				
T	-1.393642935	36.722800461	1751.5				
T	-1.393136210	36.724916851	1748.5				
T	-1.390164377	36.729180383	1773.4				
T	-1.387465936	36.731002228	1771.1				
T	-1.383992338	36.732285724	1771.8				
T	-1.380536418	36.732740189	1778.4				
T	-1.377791456	36.732358436	1753.5				
T	-1.375245470	36.731326278	1777.0				
T	-1.371340807	36.727123202	1798.2				
T	-1.370174046	36.723923708	1781.8				
T	-1.369906531	36.721365904	1788.8				
T	-1.370509791	36.718890344	1806.0				
T	-1.371712427	36.716517238	1810.2				
T	-1.373260893	36.714850168	1795.6				
T	-1.375034489	36.713816708	1812.4				
